decision,suggested_group,business_name,category,current_groups,matched_field,matched_label,evidence,rationale
REVIEW,things-to-do,Casa Canopy,vacation_rental,stay,name,adventure,Casa «Canopy»,Canopy may imply zipline/outdoor; owner confirms
ADD,things-to-do,"La Ceiba Nature Reserve - Playa Punta Uva, Puerto Viejo, Limón, Costa Rica",hotel,stay,name,hiking/nature,"La Ceiba «Nature Reserve» - Playa Punta Uva, Puerto Viejo, Limón,...",Nature reserve
REVIEW,things-to-do,"Papaya Wildlife Lodge - Cahuita, Limón, Costa Rica",vacation_rental,stay,name,wildlife,"Papaya «Wildlife» Lodge - Cahuita, Limón, Costa Rica",Lodge named Wildlife — attraction or location? owner confirms
ADD,things-to-do,Rico Tico Tours,restaurant,eat,name,tours,Rico Tico «Tours»,Tours in name
ADD,things-to-do,"Roberto's Restaurant and Tours - Cahuita, Limón, Costa Rica",restaurant,eat,name,tours,"Roberto's Restaurant and «Tours» - Cahuita, Limón, Costa Rica",Tours in name
ADD,things-to-do,Spanish School Pura Vida,services,services,name,classes,Spanish «School» Pura Vida,School/classes
ADD,things-to-do,"Surf Meds Caribe - Playa Cocles, Puerto Viejo, Limón, Costa Rica",services,services,name,surf,"«Surf» Meds Caribe - Playa Cocles, Puerto Viej...",Surf
ADD,things-to-do,Surf the Jungle Surf School Adventures,services,services,name,surf,«Surf» the Jungle Surf School Adventures,Surf school
ADD,things-to-do,"Tarponville Fishing Lodge - Manzanillo, Limón, Costa Rica",hotel,stay,name,fishing,"Tarponville «Fishing» Lodge - Manzanillo, Limón, Costa Rica",Fishing lodge
ADD,things-to-do,"Tico Surf and Skate - Playa Cocles, Puerto Viejo, Limón, Costa Rica",services,services,name,surf,"Tico «Surf» and Skate - Playa Cocles, Puerto Viejo,...",Surf/skate
ADD,things-to-do,Vol'Air Dance Studio,services,services,name,classes,Vol'Air «Dance Studio»,Dance studio = classes
REVIEW,things-to-do,"Wildlife Lodge Cahuita - Cahuita, Limón, Costa Rica",hotel,stay,name,wildlife,"«Wildlife» Lodge Cahuita - Cahuita, Limón, Costa R...",Lodge named Wildlife — attraction or location? owner confirms
SKIP,shopping,"Casa Firefly Boutique Retreat - Cahuita, Limón, Costa Rica",hotel,stay,name,shop/store,"Casa Firefly «Boutique» Retreat - Cahuita, Limón, Costa Rica","""Boutique retreat"" = lodging, not a shop"
ADD,shopping,De Gustibus Bakery,restaurant,eat,name,goods,De Gustibus «Bakery»,Bakery sells goods
ADD,shopping,Iriria Specialty Coffee Shop,restaurant,eat,name,shop/store,Iriria Specialty Coffee «Shop»,Coffee shop = retail + eat
ADD,shopping,Mendez Barber Shop,services,services|wellness,name,shop/store,Mendez Barber «Shop»,Barber shop retail
ADD,services,Taller Gabriel,shopping,shopping,name,repair/auto,«Taller» Gabriel,Taller = repair workshop
ADD,services,Tattoo Studio 33,restaurant,eat,name,personal care,«Tattoo» Studio 33,Tattoo = personal care
ADD,wellness,Aloha Skincare and Wellness,services,services,name,spa/massage,Aloha Skincare and «Wellness»,Skincare + wellness
SKIP,wellness,Ambar Tattoo Space,services,services,name,beauty,Ambar «Tattoo» Space,"Tattoo = services, not wellness"
ADD,wellness,"Blossom Paradise Retreat - Playa Negra, Puerto Viejo, Limón, Costa Rica",vacation_rental,stay,name,sanctuary,"Blossom Paradise «Retreat» - Playa Negra, Puerto Viejo, Limón, Cos...",Retreat
SKIP,wellness,Caribe Love Tattoo,services,services,name,beauty,Caribe Love «Tattoo»,"Tattoo = services, not wellness"
ADD,wellness,"Casa Firefly Boutique Retreat - Cahuita, Limón, Costa Rica",hotel,stay,name,sanctuary,"Casa Firefly Boutique «Retreat» - Cahuita, Limón, Costa Rica",Retreat
ADD,wellness,"Chimuri Beach Retreat - Playa Negra, Puerto Viejo, Limón, Costa Rica",vacation_rental,stay,name,sanctuary,"Chimuri Beach «Retreat» - Playa Negra, Puerto Viejo, Limón, Cos...",Retreat
ADD,wellness,"Dragonfly Beach Retreat - Playa Punta Uva, Puerto Viejo, Limón, Costa Rica",vacation_rental,stay,name,sanctuary,"Dragonfly Beach «Retreat» - Playa Punta Uva, Puerto Viejo, Limón,...",Retreat
ADD,wellness,"Escondido Retreat - Playa Negra, Puerto Viejo, Limón, Costa Rica",vacation_rental,stay,name,sanctuary,"Escondido «Retreat» - Playa Negra, Puerto Viejo, Limón, Cos...",Retreat
ADD,wellness,FISIOTERAPIA Agustin cuya,restaurant,eat,name,mind-body,«FISIOTERAPIA» Agustin cuya,Physiotherapy
ADD,wellness,"Kona Wellness Shala - Playa Cocles, Puerto Viejo, Limón, Costa Rica",services,services,name,spa/massage,"Kona «Wellness» Shala - Playa Cocles, Puerto Viejo, Lim...",Wellness shala
ADD,wellness,"Shiosai Retreat Cabins - Gandoca, Limón, Costa Rica",hotel,stay,name,sanctuary,"Shiosai «Retreat» Cabins - Gandoca, Limón, Costa Rica",Retreat
ADD,wellness,"Sonora Jungle Retreat - Playa Negra, Puerto Viejo, Limón, Costa Rica",hotel,stay,name,sanctuary,"Sonora Jungle «Retreat» - Playa Negra, Puerto Viejo, Limón, Cos...",Retreat
ADD,wellness,TRIBU functional training,services,services,name,fitness,TRIBU functional «training»,Fitness
SKIP,wellness,Tattoo Studio 33,restaurant,eat,name,beauty,«Tattoo» Studio 33,"Tattoo = services, not wellness"
ADD,transport,"Cahuita Bus Station - Cahuita, Limón, Costa Rica",tour_company,things-to-do,name,bus,"Cahuita «Bus» Station - Cahuita, Limón, Costa Rica",Bus station
ADD,transport,Main Bus Stop,tour_company,things-to-do,name,bus,Main «Bus» Stop,Bus stop
ADD,transport,Puerto Viejo Golf Carts,tour_company,things-to-do,name,car rental,Puerto Viejo «Golf Carts»,Golf cart rental
ADD,transport,"Terminal de Buses Sixaola - Sixaola, Limón, Costa Rica",services,services,name,bus,"«Terminal» de Buses Sixaola - Sixaola, Limón, Cost...",Bus terminal
